Energy per spin table
T        E_MC/N        err(E/N)      E_exact        |diff|
--------------------------------------------------------------
 1.00   -1.9971509510    0.0000171066   -1.9971602000    0.0000092490
 1.10   -1.9939832833    0.0000250130   -1.9940147700    0.0000314867
 1.20   -1.9885880380    0.0000349591   -1.9886609800    0.0000729420
 1.30   -1.9802689189    0.0000462560   -1.9803912500    0.0001223311
 1.40   -1.9681671672    0.0000592323   -1.9680090900    0.0001580772
 1.50   -1.9510603103    0.0000746183   -1.9508197000    0.0002406103
 1.60   -1.9280913413    0.0000916823   -1.9289101700    0.0008188287
 1.70   -1.8980520521    0.0001117810   -1.8979403100    0.0001117421
 1.80   -1.8593458458    0.0001345376   -1.8599346400    0.0005887942
 1.90   -1.8095196697    0.0001635642   -1.8088474100    0.0006722597
 2.00   -1.7457057057    0.0001961026   -1.7455571200    0.0001485857
 2.10   -1.6622361862    0.0002594035   -1.6612087500    0.0010274362
 2.20   -1.5480869513    0.0004133496   -1.5445350800    0.0035518713
 2.30   -1.3950997095    0.0005988096   -1.3877821300    0.0073175795
 2.40   -1.2367476963    0.0005370518   -1.2313154500    0.0054322463
 2.50   -1.1178570213    0.0003440438   -1.1178338800    0.0000231413
 2.60   -1.0318489489    0.0002748736   -1.0289437400    0.0029052089
 2.70   -0.9646574575    0.0002430175   -0.9630942100    0.0015632475
 2.80   -0.9081455455    0.0002301583   -0.9120449600    0.0038994145
 2.90   -0.8602321822    0.0002208196   -0.8568875600    0.0033446222
 3.00   -0.8170085085    0.0002154494   -0.8197759000    0.0027673915
