# nmeas_total =          700
# k  T  Q  count
   1     0.200000    -64          235
   1     0.200000    -63            0
   1     0.200000    -62            1
   1     0.200000    -61            0
   1     0.200000    -60            0
   1     0.200000    -59            0
   1     0.200000    -58            0
   1     0.200000    -57            0
   1     0.200000    -56            0
   1     0.200000    -55            0
   1     0.200000    -54            0
   1     0.200000    -53            0
   1     0.200000    -52            0
   1     0.200000    -51            0
   1     0.200000    -50            8
   1     0.200000    -49            0
   1     0.200000    -48            0
   1     0.200000    -47            0
   1     0.200000    -46            2
   1     0.200000    -45            0
   1     0.200000    -44            5
   1     0.200000    -43            0
   1     0.200000    -42            1
   1     0.200000    -41            0
   1     0.200000    -40            2
   1     0.200000    -39            0
   1     0.200000    -38            0
   1     0.200000    -37            0
   1     0.200000    -36            0
   1     0.200000    -35            0
   1     0.200000    -34            0
   1     0.200000    -33            0
   1     0.200000    -32            0
   1     0.200000    -31            0
   1     0.200000    -30            0
   1     0.200000    -29            0
   1     0.200000    -28            0
   1     0.200000    -27            0
   1     0.200000    -26            0
   1     0.200000    -25            0
   1     0.200000    -24            0
   1     0.200000    -23            0
   1     0.200000    -22            0
   1     0.200000    -21            0
   1     0.200000    -20            0
   1     0.200000    -19            0
   1     0.200000    -18            0
   1     0.200000    -17            0
   1     0.200000    -16            0
   1     0.200000    -15            0
   1     0.200000    -14            0
   1     0.200000    -13            0
   1     0.200000    -12            0
   1     0.200000    -11            0
   1     0.200000    -10            0
   1     0.200000     -9            0
   1     0.200000     -8            0
   1     0.200000     -7            0
   1     0.200000     -6            0
   1     0.200000     -5            0
   1     0.200000     -4            0
   1     0.200000     -3            0
   1     0.200000     -2            0
   1     0.200000     -1            0
   1     0.200000      0            0
   1     0.200000      1            0
   1     0.200000      2            0
   1     0.200000      3            0
   1     0.200000      4            0
   1     0.200000      5            0
   1     0.200000      6            0
   1     0.200000      7            0
   1     0.200000      8            0
   1     0.200000      9            0
   1     0.200000     10            0
   1     0.200000     11            0
   1     0.200000     12            0
   1     0.200000     13            0
   1     0.200000     14            0
   1     0.200000     15            0
   1     0.200000     16            0
   1     0.200000     17            0
   1     0.200000     18            0
   1     0.200000     19            0
   1     0.200000     20            0
   1     0.200000     21            0
   1     0.200000     22            0
   1     0.200000     23            0
   1     0.200000     24            0
   1     0.200000     25            0
   1     0.200000     26            0
   1     0.200000     27            0
   1     0.200000     28            0
   1     0.200000     29            0
   1     0.200000     30            0
   1     0.200000     31            0
   1     0.200000     32            0
   1     0.200000     33            0
   1     0.200000     34            0
   1     0.200000     35            0
   1     0.200000     36            0
   1     0.200000     37            0
   1     0.200000     38            0
   1     0.200000     39            0
   1     0.200000     40            8
   1     0.200000     41            0
   1     0.200000     42            2
   1     0.200000     43            0
   1     0.200000     44            1
   1     0.200000     45            0
   1     0.200000     46            1
   1     0.200000     47            0
   1     0.200000     48            1
   1     0.200000     49            0
   1     0.200000     50            9
   1     0.200000     51            0
   1     0.200000     52            0
   1     0.200000     53            0
   1     0.200000     54            0
   1     0.200000     55            0
   1     0.200000     56            0
   1     0.200000     57            0
   1     0.200000     58            0
   1     0.200000     59            0
   1     0.200000     60            0
   1     0.200000     61            0
   1     0.200000     62            6
   1     0.200000     63            0
   1     0.200000     64          418
   2     0.278261    -64          176
   2     0.278261    -63            0
   2     0.278261    -62           18
   2     0.278261    -61            0
   2     0.278261    -60            1
   2     0.278261    -59            0
   2     0.278261    -58            1
   2     0.278261    -57            0
   2     0.278261    -56            1
   2     0.278261    -55            0
   2     0.278261    -54            2
   2     0.278261    -53            0
   2     0.278261    -52            1
   2     0.278261    -51            0
   2     0.278261    -50           21
   2     0.278261    -49            0
   2     0.278261    -48            6
   2     0.278261    -47            0
   2     0.278261    -46            9
   2     0.278261    -45            0
   2     0.278261    -44            5
   2     0.278261    -43            0
   2     0.278261    -42            3
   2     0.278261    -41            0
   2     0.278261    -40           21
   2     0.278261    -39            0
   2     0.278261    -38            1
   2     0.278261    -37            0
   2     0.278261    -36            0
   2     0.278261    -35            0
   2     0.278261    -34            0
   2     0.278261    -33            0
   2     0.278261    -32            1
