k T n_samples mean_q2 std_q2 mean_e std_e mean_err_q2 mean_err_e sem_q2 sem_e
1 0.2 5 0.8114742253599999 0.1899535312248345 -1.6834567372599998 0.0156068133716143 0.013176728799999999 3.883864e-05 0.08494980167697176 0.006979579122216452
2 0.258065 5 0.7124535426999999 0.21309725754947156 -1.6818465375400002 0.01557350332056126 0.014399976320000002 6.379008e-05 0.09529999073987973 0.006964682414518735
3 0.316129 5 0.6385545559200001 0.20969904257731245 -1.6795737982399999 0.015616224474115993 0.01099487354 7.890062000000001e-05 0.09378026280389866 0.006983787895203853
4 0.374194 5 0.6009499657 0.19683035136663338 -1.6767022572599999 0.015807819239394623 0.008946324280000001 8.595106e-05 0.08802520913819217 0.007069471679063079
5 0.432258 5 0.5774309556 0.1890836823255915 -1.6732284500199999 0.01612630600767824 0.008807877019999999 9.716792e-05 0.08456079342319962 0.007211903291826358
6 0.490323 5 0.55097801108 0.19160948778428968 -1.6690277969 0.01656880364299895 0.00894840488 0.00010203531999999999 0.08569036796391745 0.0074097942503183615
7 0.548387 5 0.5202140121800001 0.19965352447282442 -1.6639549304599999 0.01721766585538396 0.00791008166 9.576468e-05 0.08928777053373065 0.00769997425330312
8 0.606452 5 0.48769042809999996 0.20390629960467813 -1.65796848432 0.01788747323711992 0.006674666960000001 9.914871999999999e-05 0.09118966939129976 0.00799952122078167
9 0.664516 5 0.45348170194000004 0.20259579376708203 -1.6510108423799998 0.018493174575539322 0.0052982798 0.00010317288 0.09060359336374472 0.008270399094135348
10 0.722581 5 0.41814820900000005 0.19836221178985697 -1.64299449072 0.018987049770167505 0.004270726000000001 0.00010279984 0.08871027794586608 0.00849126679565326
11 0.780645 5 0.38118772892 0.19281144093099284 -1.63380724604 0.019403523860036465 0.0037348876599999996 0.00010323745999999999 0.08622789775227706 0.00867751967081613
12 0.83871 5 0.34349087186 0.1850826681261503 -1.6233912134600001 0.019628955982999075 0.0027154796799999997 9.758099999999999e-05 0.08277148547742114 0.008778335981067427
13 0.896774 5 0.30459401756000004 0.17208385192230388 -1.61161599638 0.019728549220693937 0.00254385442 0.00010116734 0.07695823814565586 0.008822875430984428
14 0.954839 5 0.26486690776 0.15206217374371758 -1.59848084644 0.019641979232558508 0.00224657188 0.00012494342 0.06800427145946723 0.008784160155327994
15 1.012903 5 0.22344204350000002 0.12330080063078375 -1.5836029618 0.01914109843491319 0.00199884312 0.00014884116 0.055141794378116275 0.008560159452896145
16 1.070968 5 0.18146793746 0.09034406879283062 -1.56705000344 0.01829718253436845 0.00175195848 0.00015120914 0.040403095836937325 0.008182748788713947
17 1.129032 5 0.1440935268 0.05868833971314346 -1.5490887066199999 0.01716437374789966 0.0015201372399999999 0.00016274058 0.026246223417037855 0.007676141298303294
18 1.187097 5 0.11294764453999999 0.03495344736826112 -1.52966841194 0.016297165821344325 0.00116212838 0.00019149522 0.015631656872678597 0.0072883141234224205
19 1.245161 5 0.0891832147 0.01994840182811597 -1.5092820961 0.01578304807779354 0.0008697715599999999 0.00015810206 0.008921196506029676 0.007058393678818748
20 1.303226 5 0.07136460664 0.01143236572884227 -1.48805586316 0.015484797563658156 0.00064793048 0.00017319596 0.005112709382666048 0.0069250119940325525
21 1.36129 5 0.057477560760000004 0.007160138662068807 -1.46607590064 0.015456580657746423 0.00057401784 0.0001597024 0.0032021113553420493 0.006912393010085882
22 1.419355 5 0.046547946379999997 0.0052910705467169444 -1.4435719973599999 0.0155389161767064 0.00050974714 0.00018794544000000002 0.002366238683241213 0.006949214573557328
23 1.477419 5 0.0380250603 0.004355449831209523 -1.42028799974 0.015962547176201596 0.0003679315 0.00021747284 0.0019478163790348957 0.007138668116006816
24 1.535484 5 0.03144131982 0.003431214731150819 -1.39676616968 0.016095253124134658 0.00020512484 0.0001786306 0.0015344858768503791 0.0071980160201261904
25 1.593548 5 0.026094276519999998 0.0028666637238802632 -1.3729391250599998 0.01639398921178452 0.00017578668 0.00027199246 0.001282010991045791 0.007331614859989677
26 1.651613 5 0.02185419376 0.0024379275996714174 -1.3489844725200002 0.016485360547682626 0.00018252748000000002 0.00021435745999999999 0.0010902743674176367 0.007372477363642303
27 1.709677 5 0.018596925559999998 0.0019551144323343857 -1.32504739102 0.016563765151504133 0.00016099756 0.0002000992 0.0008743537548981198 0.007407540968421069
28 1.767742 5 0.016024064240000004 0.0016690529364033727 -1.30122281298 0.016649243166018873 0.0001427372 0.00016572513999999999 0.0007464231647687149 0.007445767898628403
29 1.825806 5 0.01394195756 0.0013810427013364898 -1.2775712283 0.016440647989834814 0.00010900668 0.00016853428000000002 0.0006176210720036661 0.007352481299883183
30 1.883871 5 0.01229835948 0.0011656918826819453 -1.25438384036 0.016367090670207446 9.453324e-05 0.00020107948 0.0005213132580993079 0.007319585466497288
31 1.941935 5 0.01093626746 0.0010017013137068372 -1.23149931948 0.01605492074669676 7.328278e-05 0.0002475935 0.00044797444611986595 0.007179978832597128
32 2.0 5 0.00985467854 0.0007537047238085835 -1.2090133005400001 0.015838567565771317 7.691112e-05 0.00022382622 0.0003370669994797394 0.0070832227486576065
