# mcs  k  T(k)  Q(k)  Eavg(k)
          10    1     0.200000          -12       -90.3250827366
          10    2     0.305882            4       -84.5130517757
          10    3     0.411765           36       -94.5590160890
          10    4     0.517647           12       -90.7465950839
          10    5     0.623529          -32       -91.5627691447
          10    6     0.729412            2       -84.5097678086
          10    7     0.835294          -32       -93.0453953816
          10    8     0.941176           36       -90.2028121651
          10    9     1.047059           28       -92.8170842653
          10   10     1.152941            2       -80.6798475215
          10   11     1.258824            6       -74.3184774459
          10   12     1.364706           -4       -83.7286628390
          10   13     1.470588           12       -85.4381396865
          10   14     1.576471          -28       -89.5229619657
          10   15     1.682353            8       -67.5463327776
          10   16     1.788235           -6       -74.8067380875
          10   17     1.894118            4       -69.3830041536
          10   18     2.000000          -12       -79.3695395582
          20    1     0.200000            0       -92.8595485227
          20    2     0.305882           36       -94.8150341254
          20    3     0.411765           10       -84.4431691366
          20    4     0.517647          -40       -94.3623556929
          20    5     0.623529            8       -92.3159786015
          20    6     0.729412          -44       -95.4092175344
          20    7     0.835294            6       -89.0877967233
          20    8     0.941176           26       -92.9692482785
          20    9     1.047059           18       -84.9662476799
          20   10     1.152941           -8       -88.0836356553
          20   11     1.258824           12       -84.4514604060
          20   12     1.364706           14       -89.6488790158
          20   13     1.470588          -28       -82.1808861834
          20   14     1.576471            0       -83.9220838161
          20   15     1.682353          -26       -74.4569767386
          20   16     1.788235          -12       -86.1561685860
          20   17     1.894118           -6       -66.2920366029
          20   18     2.000000           12       -51.1095096152
          30    1     0.200000           34       -94.6442409265
          30    2     0.305882            0       -92.8193625418
          30    3     0.411765          -28       -92.3546402810
          30    4     0.517647           14       -86.2291017553
          30    5     0.623529          -32       -90.1261148670
          30    6     0.729412           10       -91.3969499509
          30    7     0.835294           20       -91.5520016655
          30    8     0.941176           16       -90.5841604607
          30    9     1.047059           -6       -87.4429336683
          30   10     1.152941           20       -86.0595754187
          30   11     1.258824           12       -83.8053277187
          30   12     1.364706            8       -83.0062126929
          30   13     1.470588            0       -79.6870804795
          30   14     1.576471          -24       -84.2768456417
          30   15     1.682353          -20       -85.5743133685
          30   16     1.788235          -14       -80.2142792387
          30   17     1.894118           -2       -69.5869562314
          30   18     2.000000          -12       -74.9561708606
          40    1     0.200000           36       -94.8150341254
          40    2     0.305882          -38       -93.7903561137
          40    3     0.411765           -6       -92.4558923493
          40    4     0.517647          -18       -95.2505949477
          40    5     0.623529            4       -92.7383171719
          40    6     0.729412           10       -91.9688591190
          40    7     0.835294           14       -91.0478860627
          40    8     0.941176            4       -91.4532672484
          40    9     1.047059          -10       -87.8117117557
          40   10     1.152941           32       -86.8007261868
          40   11     1.258824           40       -86.0092977016
          40   12     1.364706           20       -88.0113097842
          40   13     1.470588           -4       -84.3730413243
          40   14     1.576471          -10       -80.9693541855
          40   15     1.682353          -28       -84.7412345079
          40   16     1.788235          -16       -73.5048545020
          40   17     1.894118          -14       -72.3143100201
          40   18     2.000000           -4       -71.9188908683
          50    1     0.200000          -24       -94.4924945072
          50    2     0.305882           44       -94.1273287782
          50    3     0.411765          -28       -96.9278076594
          50    4     0.517647          -10       -92.3145648297
          50    5     0.623529           24       -95.4629331989
          50    6     0.729412           -6       -94.0798020972
          50    7     0.835294            0       -88.5723685808
          50    8     0.941176           -8       -94.2573186761
          50    9     1.047059          -22       -92.4864666672
          50   10     1.152941           20       -81.2057995400
          50   11     1.258824           24       -85.3943016544
          50   12     1.364706           24       -89.8459932004
          50   13     1.470588           14       -76.1598393815
          50   14     1.576471          -14       -77.6002875559
          50   15     1.682353          -30       -84.9950722645
          50   16     1.788235          -34       -82.3771616503
          50   17     1.894118          -30       -78.5109995444
          50   18     2.000000          -38       -85.3047649793
