# mcs  k  T(k)  Q(k)  Eavg(k)
          10    1     0.200000          -20       -96.4653163319
          10    2     0.278261          -26       -91.2707631475
          10    3     0.356522           32       -94.2609104563
          10    4     0.434783           18       -87.8557713817
          10    5     0.513043           26       -96.6039162606
          10    6     0.591304           18       -89.3410653702
          10    7     0.669565            4       -96.7021018966
          10    8     0.747826           -6       -89.2795196869
          10    9     0.826087          -22       -97.8353722929
          10   10     0.904348            8       -91.0275982669
          10   11     0.982609           12       -92.8724271700
          10   12     1.060870            4       -88.2525821832
          10   13     1.139130           22       -83.1812545859
          10   14     1.217391           14       -88.4059912500
          10   15     1.295652           18       -82.6418183618
          10   16     1.373913          -32       -79.7810073649
          10   17     1.452174           -4       -89.1756377990
          10   18     1.530435          -20       -86.5643142638
          10   19     1.608696           -6       -75.9987013682
          10   20     1.686957          -10       -77.6838558999
          10   21     1.765217           24       -77.5150807913
          10   22     1.843478          -12       -76.7904013679
          10   23     1.921739            2       -75.8270397614
          10   24     2.000000            0       -63.1835873392
          20    1     0.200000          -18       -96.5338850281
          20    2     0.278261           32       -94.4124492067
          20    3     0.356522          -26       -90.7715783762
          20    4     0.434783           28       -96.1944581332
          20    5     0.513043           18       -90.2241999309
          20    6     0.591304           40      -102.0724425583
          20    7     0.669565           26       -91.0266019211
          20    8     0.747826          -40       -98.0992525552
          20    9     0.826087          -22       -93.2865390107
          20   10     0.904348           30       -95.4511475677
          20   11     0.982609          -26       -92.7291757890
          20   12     1.060870            8       -90.1376365296
          20   13     1.139130          -14       -91.4232421310
          20   14     1.217391           -8       -94.9085021060
          20   15     1.295652            2       -89.4061180693
          20   16     1.373913          -54       -99.7023455406
          20   17     1.452174          -10       -86.9731540895
          20   18     1.530435           14       -91.4941145413
          20   19     1.608696           14       -82.3762946613
          20   20     1.686957           -4       -76.9421401269
          20   21     1.765217           24       -83.2037945425
          20   22     1.843478           -2       -73.6854655750
          20   23     1.921739           -6       -73.5759573524
          20   24     2.000000           36       -75.5953008460
          30    1     0.200000           38       -98.1176865795
          30    2     0.278261          -16       -96.5758147071
          30    3     0.356522           18       -98.3220237931
          30    4     0.434783          -10       -89.0929068652
          30    5     0.513043           46      -101.7133446560
          30    6     0.591304            8       -89.8951420834
          30    7     0.669565          -38       -98.4507050062
          30    8     0.747826           32       -93.1162143413
          30    9     0.826087           26       -99.0458708915
          30   10     0.904348          -14       -87.6779578895
          30   11     0.982609           -6       -91.6136745425
          30   12     1.060870           26       -89.8644206326
          30   13     1.139130            4       -91.4313387585
          30   14     1.217391          -26       -91.1660842466
          30   15     1.295652          -26       -91.8766467175
          30   16     1.373913           18       -91.8455710650
          30   17     1.452174           10       -87.4659349496
          30   18     1.530435           12       -81.8248860238
          30   19     1.608696           20       -78.8880242793
          30   20     1.686957           26       -88.7083740969
          30   21     1.765217           12       -80.0166418237
          30   22     1.843478           14       -76.5480812499
          30   23     1.921739           30       -71.6864097079
          30   24     2.000000          -36       -85.0705704988
          40    1     0.200000           38       -98.1176865795
          40    2     0.278261          -10       -98.6099026231
          40    3     0.356522           -6       -94.6913997932
          40    4     0.434783           52      -103.5684466499
          40    5     0.513043            0       -90.1848787226
          40    6     0.591304          -42       -99.5083688188
          40    7     0.669565           -4       -92.0725092013
          40    8     0.747826           34      -101.3596975110
          40    9     0.826087           46       -92.7451773426
          40   10     0.904348            8       -95.7271667738
          40   11     0.982609          -22       -98.2920997219
          40   12     1.060870           20       -95.5820284645
          40   13     1.139130            8       -87.2219544084
          40   14     1.217391          -60       -98.8934520625
          40   15     1.295652          -16       -86.4985576727
          40   16     1.373913            6       -90.9664209811
          40   17     1.452174           32       -92.6317096418
          40   18     1.530435           26       -91.5715065759
          40   19     1.608696           -8       -92.8729378312
          40   20     1.686957            8       -76.5592203738
          40   21     1.765217           12       -84.1355465716
          40   22     1.843478           -6       -69.9182382826
          40   23     1.921739           26       -73.8569024770
          40   24     2.000000          -14       -73.9081171081
          50    1     0.200000          -10       -99.8013658714
          50    2     0.278261           38       -98.1176865795
          50    3     0.356522           44      -104.5105373592
          50    4     0.434783           -4       -95.0265353710
          50    5     0.513043          -48      -102.2943363672
          50    6     0.591304          -18       -99.2743420499
          50    7     0.669565           32       -99.1283870099
          50    8     0.747826            0       -92.5763604717
          50    9     0.826087           12       -95.6407265280
          50   10     0.904348           30       -94.7674384335
          50   11     0.982609          -14       -90.1190725687
          50   12     1.060870           -8       -94.3556916073
          50   13     1.139130          -48       -99.9804030874
          50   14     1.217391           22       -92.3890544952
          50   15     1.295652            2       -91.7104334130
          50   16     1.373913           16       -92.9981410832
          50   17     1.452174           -8       -93.3205618661
          50   18     1.530435           20       -89.4290788239
          50   19     1.608696           12       -78.9568601986
          50   20     1.686957          -10       -85.7067909425
          50   21     1.765217           10       -79.6080975850
          50   22     1.843478            8       -77.7273542272
          50   23     1.921739            2       -67.3335905118
          50   24     2.000000           24       -75.3250109678
          60    1     0.200000          -10      -100.1648870743
          60    2     0.278261           46      -104.6573919541
          60    3     0.356522           36       -97.9460311945
          60    4     0.434783          -52      -103.3510533025
          60    5     0.513043           -6       -94.6913997932
          60    6     0.591304           24      -101.5164999157
          60    7     0.669565          -24       -99.3258093307
          60    8     0.747826           24       -96.7440422609
          60    9     0.826087            0       -94.0935479987
          60   10     0.904348           -8       -94.3465155999
          60   11     0.982609            6       -86.8489558360
          60   12     1.060870          -52       -97.1180261205
          60   13     1.139130          -18       -96.9499815063
          60   14     1.217391           44       -89.0942444201
          60   15     1.295652           22       -92.4137302230
          60   16     1.373913           -6       -87.4603004476
          60   17     1.452174           16       -85.4455855933
          60   18     1.530435           20       -87.3953147254
          60   19     1.608696           24       -82.4693924601
          60   20     1.686957            0       -69.9765772783
          60   21     1.765217           -8       -69.4083055610
          60   22     1.843478           -4       -79.4678056838
          60   23     1.921739            2       -78.3514649097
          60   24     2.000000            8       -73.2907762849
          70    1     0.200000           44      -104.6679706596
          70    2     0.278261           -8      -100.0963183780
          70    3     0.356522          -54      -103.3789467745
          70    4     0.434783           44       -98.6554626534
          70    5     0.513043           28      -101.8775086126
          70    6     0.591304          -14       -95.5608123578
          70    7     0.669565          -20      -100.8871434474
          70    8     0.747826          -56       -98.3180324753
          70    9     0.826087           20       -96.5698174442
          70   10     0.904348           -6       -90.2858483090
          70   11     0.982609          -48      -102.4381817317
          70   12     1.060870           -2       -95.7550722175
          70   13     1.139130           44       -97.6137679258
          70   14     1.217391           -8       -90.1744121617
          70   15     1.295652            0       -93.4173626907
          70   16     1.373913           -2       -89.2040002820
          70   17     1.452174            0       -87.3859757240
          70   18     1.530435           26       -90.1071723027
          70   19     1.608696            2       -84.8187528011
          70   20     1.686957           38       -83.5404998652
